Start of debug log: Mon, 25 Nov 2024 11:28:27 GMT
Format: [Timestamp] Message

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (-2yAEUp9v6M).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (tgXOYrHnRIU).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (SMvmAWECT8U).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (xp0NOjZlNlo).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (fa4UguKRgNg).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (OFP3lEHOpA8).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (tyKu0uZS86Q).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (YidmA4DCjGc).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (MSepOYJxB64).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (chDWGlknwHU).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (I-H4VCTbiw0).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (PX-L8vDfMXI).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (vSwUg6biC2k).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (GDTD24KsdGc).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (ucuA7HszQZM).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (b_0xu8foYY8).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (yAW3xEnDTqk).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (kN3QiFZFWyw).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (-itZVX-SUkI).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (L9l8zCOwEII).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (eQ03W8emhuY).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (2c_cOxx69H0).

[Tue, 26 Nov 2024 03:21:33 GMT] Created buffer file (./src/temp/HfO2mSE878c-temp_audio.pcm) for song (HfO2mSE878c).

[Tue, 26 Nov 2024 03:21:33 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 03:21:33 GMT] Audio is now playing!

[Tue, 26 Nov 2024 03:21:37 GMT] Created buffer file (./src/temp/ut_RjDGUJoY-temp_audio.pcm) for song (ut_RjDGUJoY).

[Tue, 26 Nov 2024 03:22:37 GMT] Removed temp audio file (./src/temp/HfO2mSE878c-temp_audio.pcm)

[Tue, 26 Nov 2024 03:22:40 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 03:22:40 GMT] Audio is now playing!

[Tue, 26 Nov 2024 03:22:43 GMT] Created buffer file (./src/temp/nW0_o4aXsfk-temp_audio.pcm) for song (nW0_o4aXsfk).

[Tue, 26 Nov 2024 03:23:47 GMT] Removed temp audio file (./src/temp/ut_RjDGUJoY-temp_audio.pcm)

[Tue, 26 Nov 2024 03:23:50 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 03:23:50 GMT] Audio is now playing!

[Tue, 26 Nov 2024 03:23:54 GMT] Created buffer file (./src/temp/wKKX5phpRo4-temp_audio.pcm) for song (wKKX5phpRo4).

[Tue, 26 Nov 2024 03:25:18 GMT] Removed temp audio file (./src/temp/nW0_o4aXsfk-temp_audio.pcm)

[Tue, 26 Nov 2024 03:25:21 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 03:25:21 GMT] Audio is now playing!

[Tue, 26 Nov 2024 03:25:25 GMT] Created buffer file (./src/temp/uAmgPYMY3o8-temp_audio.pcm) for song (uAmgPYMY3o8).

[Tue, 26 Nov 2024 03:37:20 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 03:37:21 GMT] Added song (W1UAbN1CYZk).

[Tue, 26 Nov 2024 03:37:25 GMT] Created buffer file (./src/temp/W1UAbN1CYZk-temp_audio.pcm) for song (W1UAbN1CYZk).

[Tue, 26 Nov 2024 03:37:26 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 03:37:26 GMT] Audio is now playing!

[Tue, 26 Nov 2024 03:42:00 GMT] Cleared temp folder.

[Tue, 26 Nov 2024 03:43:21 GMT] Created temp folder.

[Tue, 26 Nov 2024 03:44:27 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 03:44:32 GMT] Created buffer file (./src/temp/W1UAbN1CYZk-temp_audio.pcm) for song (W1UAbN1CYZk).

[Tue, 26 Nov 2024 03:44:33 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 03:44:33 GMT] Audio is now playing!

[Tue, 26 Nov 2024 03:44:53 GMT] Cleared temp folder (./src/temp).

[Tue, 26 Nov 2024 03:44:54 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 03:44:59 GMT] Created buffer file (./src/temp/W1UAbN1CYZk-temp_audio.pcm) for song (W1UAbN1CYZk).

[Tue, 26 Nov 2024 03:45:00 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 03:45:00 GMT] Audio is now playing!

